第九分局|王鼎霖|邱澤, 温貞菱, 劉奕兒(Eugenie Liu), 澎恰恰|★金獎影帝邱澤最新奇幻動作力作！★澎恰恰攜邱澤、温貞菱、劉奕兒化身「通靈神探」！★金牌製作人王鈞、億萬監製葉如芬、陳鴻元耗資千萬視效重金打造！★新銳導演王鼎霖一鳴驚人之作，今年暑假壓軸最強檔！地上辦不了的案 就交給地下的我們！天生有靈異體質的菜鳥警探陳家豪(邱澤飾)，充滿正義感、想打擊犯罪卻因分不清人鬼頻頻鬧出烏龍。一場出勤意外，他連累了搭檔學長殉職而被迫離開警局，在老鳥警探老張(澎恰恰飾)的協助下，陰錯陽差加入地下的神秘警察組織「第九分局」。「第九分局」專門處理地上辦不了的懸案及各式靈異案件，阿豪開始和老張、有通靈能力的學姐小雪(温貞菱飾)學習用桃木傘、香架、聖水槍等獨門法器抓惡鬼。某日，社會線記者如心(劉奕兒飾)請求協尋友人神秘死亡的真相時，他們也意外捲入了一宗震驚社會的連環殺人命案…|甲上娛樂|https://www.youtube.com/embed/gR6DPXgUXO4|95|2019-08-29|2019-09-27|國語|奇幻動作|data/movie/images/movie001.jpeg
極限逃生|李相槿|曹政奭(Cho Jung-Seok), 潤娥, 高斗心, 朴仁煥|★ 《雞不可失》團隊鉅資打造全新動作災難喜劇★ 莫名毒氣攻擊首爾，實力派演員曹致奭聯手少女時代成員林潤娥逃出生天★ 辛酸度破表的青年失業者，遭遇前所未見的災難！生活好難，逃命更難！永南（曹政奭 飾）大學參加山岳社，是社團中的菁英。但畢業後的永南就職不順，每天在家都得看家人的臉色。在母親的70歲壽宴當天，永南遇到了多年未見的社團學妹意珠（林潤娥 飾），在這種尷尬的情況中，宴會廳突然煙霧瀰漫，下一瞬間，整個首爾市都被有毒氣體壟罩，陷入危機！面臨這生死關頭的情況，永南與意珠決定運用在大學社團時所累積的體力和技術，帶領身邊的人逃出這場始料未及的災難中！|CJ E&M電影部門|https://www.youtube.com/embed/LIkmSEriJKQ|101|2019-08-30|2019-09-28|韓語|喜劇動作|data/movie/images/movie002.jpeg
你願意嫁給我老公嗎？|巴特‧佛萊林區(Bart Freundlich)|茱莉安摩爾(Julianne Moore), 蜜雪兒威廉斯(Michelle Williams), 比利克魯德普(Billy Crudup), 艾比奎因(Abby Quinn)|★ 繼《我想念我自己》後 奧斯卡影后茱莉安摩爾 情感張力再創巔峰 ★奧斯卡影后 茱莉安摩爾 X 金球獎影后 蜜雪兒威廉絲 攜手打造動人心篇章★每個謎團 都始於一個秘密 分手後沒說的事 都將成為來日人生考驗★重逢是緣分 還是刻意安排 愛的代價　誰能承擔？★改編自2007年奧斯卡最佳外語片入圍 丹麥電影《婚禮之後》 伊莎貝爾（蜜雪兒威廉絲 飾）獻身公益，在印度經營孤兒院，多年來全心投入慈善事業，但慘澹的收入讓她幾乎無法繼續下去。某日，身價千萬的知名企業家泰瑞莎（茱莉安摩爾 飾）表達了鉅額贊助的可能意願，於是伊莎貝爾決定飛往紐約爭取機會，過程中更被邀請參加泰瑞莎女兒的婚禮，看似毫無關聯的一切，卻在伊莎貝爾和舊愛意外重逢後掀起波瀾，往日的糾葛重新浮上檯面，誰能承擔愛的代價？|威望國際|https://www.youtube.com/embed/07rcQZ7-JIg|112|2019-08-30|2019-09-29|英語|劇情|data/movie/images/movie003.jpeg
亂世佳人|維克托弗萊明(Victor Fleming), 喬治丘克(George Cukor), 山姆沃德(Sam Wood)|費雯麗(Vivien Leigh), 克拉克蓋博(Clark Gable)|費雯麗在片中完美地詮釋了郝思嘉的每一個面向，她美麗、高傲且擅長利用自己的優勢，堅強勇敢地面對命運給予的各種挑戰；而克拉克蓋博飾演的白瑞德雖然是個浪子，但是對郝思嘉卻是一見鍾情、一往情深，這兩人相遇在大時代戰火來臨之前，歷經亂爭帶來的無情動盪與命運的考驗，郝思嘉不怨天尤人，在亂世中展現她的美麗、智慧與勇氣，迎向每一天的挑戰。可以預見的是《亂世佳人》的故事在這80年間已經感動每一個世代數以百萬計的觀眾，而且還將繼續下去。|華納|https://www.youtube.com//embed/8NYdtxnzIiw|233|2019-08-30|2019-09-28|英語|愛情|data/movie/images/movie004.jpeg
航海王：奪寶爭霸戰|尾田榮一郎|	田中真弓, 矢尾一樹, 山口由里子, 山口勝平, 中井和哉, 大谷育江, 指原莉乃, 平田廣明|★航海王20周年紀念睽違3年最新劇場版回歸之作 收到海賊萬博邀請函的草帽小子一行人，萬博的主旨「尋找海賊王（哥爾羅傑）遺留的寶藏」使得展開了一場寶藏爭奪戰，在這當中各式各樣的威脅也接踵而來，海賊、海軍、王下七武海、革命軍都將亂入發展成混亂的戰鬥。|東映動畫|https://www.youtube.com/embed/5muHxNFipo0|101|2019-08-21|2019-09-19|日語|劇情|data/movie/images/movie005.jpeg
下半場|張榮吉(Chang Jung-Chi)|范少勳, 朱軒洋, 段鈞豪, 吳大維, 庹宗華, 李霖霏|從街頭籃球場到高中籃球聯賽賽場，兄弟兩人不僅要打敗彼此，更要戰勝他們的命運。來自失親家庭的姜家兄弟，因為一場街頭鬥牛賽被籃球隊教練發掘，改變了兩人的命運。弟弟姜桐豪加入豪門球隊育英高中，並受到教練重視，從追逐著哥哥背影的害羞少年，蛻變為場上耀眼的球星。哥哥姜秀宇加入雜草球隊光誠中學，從一開始的不適應到融入團隊，球隊面臨解散的危機也讓光誠隊員兄弟般的情誼更為緊密；兄弟兩人漸行漸遠，但哥哥還是渴望著能和弟弟像從前一樣開心打球。終於，兄弟兩人在冠軍賽上重逢。曾經一無所有、相依為命的兄弟，一起踏上了夢想中的球場殿堂，時間讓兄弟成長，卻也失去了彼此。在爭奪冠軍的道路上，為了籃球隊的兄弟，必須擊敗眼前的親兄弟。當比賽結束的哨音響起，兄弟終於發現，曾經失去的，在下半場都會一一找回來，而這才是比贏球更重要的事情。|下半場電影股份有限公司|https://www.youtube.com/embed/SKDUR7vV94U|118|2019-08-23|2019-09-21|國語|劇情|data/movie/images/movie006.jpeg
殺手寓言|江口Kan(Eguchi Kan)|岡田准一(Junichi Okada), 木村文乃(Fumino Kimura), 山本美月(Mizuki Yamamoto), 福士蒼汰(Sota Fukushi), 柳樂優彌(Yagira Yuya), 向井理(Osamu Mukai), 宮川大輔, 佐藤二朗, 光石研(Ken Mitsuishi), 安田顯, 佐藤浩市(Kohichi Satoh)|任何目標都能在6秒內解決，有如傳說般存在的天才殺手「寓言」，是個讓黑社會聞風喪膽的狠角色。從小在「老闆」（佐藤浩市飾演）手下工作的他，與搭檔（木村文乃飾演）共同葬送無數目標。深怕樹大招風的老闆，某天命令他跟搭檔去大阪生活一年，期間不得殺害任何人，否則就要把他殺了。於是，寓言用「佐藤明」的假名，和搭檔喬裝兄妹檔，展開人生首次的普通人生活…。 面對突如其來的嶄新生活，他開始養寵物、打零工，就連被小混混找碴毒打，都得故作軟弱不能還手。雖然慢慢融入不能殺人的普通生活，但他身邊還是陸續出現想殺他的殺手，或是想請求他幫忙的人，讓他面臨兩難的抉擇。究竟被命令不能殺人的他，要如何平安度過這一年的普通人生呢？|采昌國際|https://www.youtube.com/embed/hBv6x8EAA28|123|2019-08-23|2019-09-21|日語|動作、劇情|data/movie/images/movie007.jpeg
光|郭修篆(Quek Shio Chuan)|莊仲維(Kyo Chen), 張順源(Ernest Chong), 陳子穎(Emily Chan)|★ 榮獲多項國際大獎短片 感動搬上大銀幕★ 勇奪馬來西亞電影節最佳新銳導演、男演員等四項大獎★ 真人實事改編 細膩描繪最真誠的親情故事★ 催淚指數更勝《雨人》《那才是我的世界》《證人》《光》是一段圍繞著兩兄弟的故事。哥哥文光（莊仲維 飾）是一名自閉症患者，在母親過世後，弟弟（張順源 飾）履行了和母親的承諾，18年來一直都不曾離棄文光。因為文光無法專注集中以及正常社交，以至於找不到穩定的工作，弟弟也一個人扛起兩人的生活起居。大城市的生活壓力逐漸讓弟弟喘不過氣，他決定用盡所有辦法訓練文光面試的技巧，設法幫助文光去應徵工作，共同分擔生活開銷。然而，面對文光一次又一次的因為分心而導致工作面試失敗，甚至闖禍、惹麻煩，弟弟氣憤又無奈。而某天當他突然聽到文光房間傳來音樂聲， 推開房門發現哥哥的音樂天賦其實一直在默默的閃耀著..|樂盟電影|https://www.youtube.com/embed/Gw2p-WLPc6s|89|2019-08-23|2019-09-21|國語|劇情|data/movie/images/movie008.jpeg
憤怒鳥玩電影2：冰的啦！|索普范奧爾曼(Thurop Van Orman), 約翰萊斯|彼得汀克萊傑(Peter Dinklage), 比爾哈德爾(Bill Hader), 傑森蘇戴西斯(Jason Sudeikis), 喬許蓋德(Josh Gad), 李利萊爾豪艾里(Lil Rel Howery)|改編自經典遊戲的《憤怒鳥玩電影》於2016年上映後即在全球掀起狂熱，不僅奪下包含美國等超過50國的開片冠軍，累積超過百億台幣的票房佳績，成為影史上改編自電玩的電影票房第二名。延續這波叫好叫座的好評，最新電影《憤怒鳥玩電影2》將於今年暑假再次躍上大銀幕！這一次，這群憤怒又討喜的鳥兒們將帶來更瘋狂、更失控的精彩內容！|索尼動畫|https://www.youtube.com/embed/X7l2LlSqi3s|97|2019-08-14|2019-09-12|英語|動畫|data/movie/images/movie009.jpeg
朵拉與失落的黃金城|詹姆斯波賓(James Bobin)|	伊莎貝拉莫娜(Isabela Moner), 班尼西歐迪特洛(Benicio Del Toro), 麥可潘納(Michael Peña), 丹尼特瑞歐(Danny Trejo), 伊娃朗格莉雅(Eva Longoria)|她一生中大部分時間都在和父母一起探索叢林，卻沒有什麼能讓朵拉（伊莎貝拉莫娜 飾）為她最危險的冒險 - 高中生活做準備。 身為探險家，朵拉將帶領著布茲（她最好的朋友，一隻猴子），迪亞哥（傑佛瑞華伯格 飾），一個神秘的叢林居民（歐亨尼奧德伯茲 飾），還有一群青少年共同參與一場真人實景的冒險旅程。拯救她父母親（麥可潘納和伊娃朗格莉亞 飾）的同時，還要解開失落的黃金城的謎團。| Paramount Players|https://www.youtube.com/embed/M0jxgMY9WXc|102|2019-08-09|2019-09-07|英語|喜劇|data/movie/images/movie010.jpeg
